num_nets_with_moves,num_total_moves,est_errors,constraint_diffs,net_id
1,1,4.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,12.0,2.0,n500r25
1,5,6.0,4.0,n100r5
3,5,10.0,10.0,n100r5
5,5,12.0,10.0,n100r5
1,5,6.0,6.0,n500r25
8,5,22.0,16.0,n500r25
15,5,64.0,20.0,n500r25
21,5,22.0,10.0,n500r25
1,15,12.0,10.0,n100r5
3,15,22.0,20.0,n100r5
5,15,30.0,26.0,n100r5
1,15,38.0,34.0,n500r25
8,15,40.0,30.0,n500r25
15,15,62.0,52.0,n500r25
21,15,44.0,30.0,n500r25
1,20,16.0,12.0,n100r5
3,20,40.0,30.0,n100r5
5,20,34.0,32.0,n100r5
1,20,40.0,30.0,n500r25
8,20,78.0,56.0,n500r25
15,20,60.0,40.0,n500r25
21,20,70.0,40.0,n500r25
1,35,14.0,12.0,n100r5
3,35,46.0,44.0,n100r5
5,35,66.0,64.0,n100r5
1,35,40.0,28.0,n500r25
8,35,-1.0,76.0,n500r25
15,35,84.0,66.0,n500r25
21,35,-1.0,86.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,8.0,8.0,n100r5
3,5,22.0,24.0,n100r5
5,5,10.0,10.0,n100r5
1,5,20.0,10.0,n500r25
8,5,36.0,10.0,n500r25
15,5,20.0,10.0,n500r25
21,5,24.0,6.0,n500r25
1,15,32.0,30.0,n100r5
3,15,42.0,42.0,n100r5
5,15,30.0,20.0,n100r5
1,15,-1.0,36.0,n500r25
8,15,42.0,30.0,n500r25
15,15,62.0,30.0,n500r25
21,15,30.0,30.0,n500r25
1,20,26.0,26.0,n100r5
3,20,34.0,38.0,n100r5
5,20,32.0,32.0,n100r5
1,20,8.0,8.0,n500r25
8,20,80.0,46.0,n500r25
15,20,42.0,40.0,n500r25
21,20,42.0,32.0,n500r25
1,35,30.0,30.0,n100r5
3,35,46.0,46.0,n100r5
5,35,50.0,44.0,n100r5
1,35,34.0,34.0,n500r25
8,35,78.0,62.0,n500r25
15,35,90.0,80.0,n500r25
21,35,94.0,68.0,n500r25
1,1,2.0,2.0,n100r5
3,1,14.0,14.0,n100r5
5,1,4.0,2.0,n100r5
1,1,2.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,10.0,10.0,n100r5
3,5,10.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,20.0,10.0,n500r25
8,5,28.0,10.0,n500r25
15,5,20.0,10.0,n500r25
21,5,10.0,10.0,n500r25
1,15,26.0,26.0,n100r5
3,15,32.0,30.0,n100r5
5,15,26.0,26.0,n100r5
1,15,42.0,28.0,n500r25
8,15,70.0,30.0,n500r25
15,15,44.0,26.0,n500r25
21,15,26.0,26.0,n500r25
1,20,36.0,34.0,n100r5
3,20,38.0,32.0,n100r5
5,20,48.0,48.0,n100r5
1,20,28.0,28.0,n500r25
8,20,52.0,46.0,n500r25
15,20,80.0,38.0,n500r25
21,20,72.0,46.0,n500r25
1,35,32.0,32.0,n100r5
3,35,58.0,58.0,n100r5
5,35,56.0,54.0,n100r5
1,35,44.0,34.0,n500r25
8,35,76.0,66.0,n500r25
15,35,60.0,60.0,n500r25
21,35,74.0,68.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,4.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,2.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,22.0,24.0,n100r5
3,5,12.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,10.0,10.0,n500r25
8,5,10.0,10.0,n500r25
15,5,20.0,10.0,n500r25
21,5,20.0,10.0,n500r25
1,15,16.0,14.0,n100r5
3,15,30.0,28.0,n100r5
5,15,54.0,46.0,n100r5
1,15,36.0,22.0,n500r25
8,15,38.0,28.0,n500r25
15,15,42.0,30.0,n500r25
21,15,52.0,36.0,n500r25
1,20,32.0,32.0,n100r5
3,20,40.0,38.0,n100r5
5,20,56.0,54.0,n100r5
1,20,34.0,32.0,n500r25
8,20,54.0,34.0,n500r25
15,20,78.0,60.0,n500r25
21,20,104.0,66.0,n500r25
1,35,30.0,28.0,n100r5
3,35,56.0,56.0,n100r5
5,35,36.0,36.0,n100r5
1,35,28.0,28.0,n500r25
8,35,66.0,64.0,n500r25
15,35,112.0,96.0,n500r25
21,35,84.0,70.0,n500r25
1,1,2.0,2.0,n100r5
3,1,4.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,4.0,2.0,n500r25
8,1,18.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,12.0,10.0,n100r5
3,5,12.0,10.0,n100r5
5,5,22.0,22.0,n100r5
1,5,16.0,10.0,n500r25
8,5,20.0,10.0,n500r25
15,5,10.0,10.0,n500r25
21,5,20.0,10.0,n500r25
1,15,22.0,22.0,n100r5
3,15,28.0,24.0,n100r5
5,15,42.0,42.0,n100r5
1,15,34.0,24.0,n500r25
8,15,-1.0,40.0,n500r25
15,15,40.0,30.0,n500r25
21,15,42.0,30.0,n500r25
1,20,30.0,26.0,n100r5
3,20,28.0,26.0,n100r5
5,20,28.0,28.0,n100r5
1,20,34.0,28.0,n500r25
8,20,68.0,50.0,n500r25
15,20,82.0,52.0,n500r25
21,20,44.0,38.0,n500r25
1,35,18.0,16.0,n100r5
3,35,54.0,52.0,n100r5
5,35,76.0,74.0,n100r5
1,35,42.0,46.0,n500r25
8,35,94.0,80.0,n500r25
15,35,62.0,60.0,n500r25
21,35,80.0,70.0,n500r25
1,1,4.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,4.0,2.0,n100r5
1,1,2.0,2.0,n500r25
8,1,10.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,12.0,2.0,n500r25
1,5,6.0,6.0,n100r5
3,5,10.0,10.0,n100r5
5,5,12.0,10.0,n100r5
1,5,28.0,8.0,n500r25
8,5,24.0,10.0,n500r25
15,5,20.0,10.0,n500r25
21,5,10.0,10.0,n500r25
1,15,30.0,28.0,n100r5
3,15,34.0,26.0,n100r5
5,15,26.0,26.0,n100r5
1,15,28.0,24.0,n500r25
8,15,30.0,30.0,n500r25
15,15,38.0,28.0,n500r25
21,15,38.0,30.0,n500r25
1,20,8.0,6.0,n100r5
3,20,36.0,34.0,n100r5
5,20,38.0,34.0,n100r5
1,20,-1.0,26.0,n500r25
8,20,86.0,50.0,n500r25
15,20,74.0,54.0,n500r25
21,20,64.0,40.0,n500r25
1,35,14.0,12.0,n100r5
3,35,64.0,50.0,n100r5
5,35,48.0,46.0,n100r5
1,35,-1.0,42.0,n500r25
8,35,-1.0,78.0,n500r25
15,35,114.0,76.0,n500r25
21,35,82.0,60.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,4.0,2.0,n100r5
1,1,2.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,12.0,2.0,n500r25
1,5,8.0,6.0,n100r5
3,5,10.0,10.0,n100r5
5,5,8.0,8.0,n100r5
1,5,12.0,2.0,n500r25
8,5,20.0,10.0,n500r25
15,5,6.0,6.0,n500r25
21,5,10.0,10.0,n500r25
1,15,16.0,16.0,n100r5
3,15,24.0,24.0,n100r5
5,15,36.0,30.0,n100r5
1,15,30.0,20.0,n500r25
8,15,36.0,26.0,n500r25
15,15,66.0,28.0,n500r25
21,15,38.0,30.0,n500r25
1,20,16.0,14.0,n100r5
3,20,38.0,32.0,n100r5
5,20,42.0,32.0,n100r5
1,20,36.0,26.0,n500r25
8,20,52.0,40.0,n500r25
15,20,74.0,60.0,n500r25
21,20,62.0,40.0,n500r25
1,35,24.0,22.0,n100r5
3,35,50.0,48.0,n100r5
5,35,54.0,54.0,n100r5
1,35,28.0,28.0,n500r25
8,35,-1.0,72.0,n500r25
15,35,126.0,86.0,n500r25
21,35,86.0,74.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,2.0,2.0,n500r25
8,1,10.0,2.0,n500r25
15,1,22.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,10.0,8.0,n100r5
3,5,12.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,4.0,4.0,n500r25
8,5,20.0,10.0,n500r25
15,5,10.0,10.0,n500r25
21,5,20.0,10.0,n500r25
1,15,22.0,22.0,n100r5
3,15,26.0,26.0,n100r5
5,15,34.0,30.0,n100r5
1,15,26.0,22.0,n500r25
8,15,-1.0,30.0,n500r25
15,15,30.0,28.0,n500r25
21,15,46.0,30.0,n500r25
1,20,12.0,10.0,n100r5
3,20,36.0,30.0,n100r5
5,20,40.0,40.0,n100r5
1,20,28.0,28.0,n500r25
8,20,46.0,34.0,n500r25
15,20,88.0,50.0,n500r25
21,20,56.0,38.0,n500r25
1,35,16.0,14.0,n100r5
3,35,-1.0,48.0,n100r5
5,35,64.0,62.0,n100r5
1,35,34.0,34.0,n500r25
8,35,120.0,86.0,n500r25
15,35,90.0,60.0,n500r25
21,35,104.0,80.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,20.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,10.0,10.0,n100r5
3,5,10.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,48.0,30.0,n500r25
8,5,26.0,10.0,n500r25
15,5,24.0,12.0,n500r25
21,5,32.0,10.0,n500r25
1,15,18.0,18.0,n100r5
3,15,42.0,42.0,n100r5
5,15,26.0,24.0,n100r5
1,15,18.0,18.0,n500r25
8,15,40.0,30.0,n500r25
15,15,38.0,28.0,n500r25
21,15,-1.0,30.0,n500r25
1,20,34.0,24.0,n100r5
3,20,38.0,32.0,n100r5
5,20,32.0,28.0,n100r5
1,20,28.0,16.0,n500r25
8,20,32.0,32.0,n500r25
15,20,60.0,48.0,n500r25
21,20,56.0,46.0,n500r25
1,35,24.0,22.0,n100r5
3,35,52.0,48.0,n100r5
5,35,56.0,50.0,n100r5
1,35,64.0,48.0,n500r25
8,35,110.0,92.0,n500r25
15,35,88.0,64.0,n500r25
21,35,114.0,92.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,12.0,12.0,n500r25
21,1,2.0,2.0,n500r25
1,5,4.0,4.0,n100r5
3,5,10.0,10.0,n100r5
5,5,12.0,10.0,n100r5
1,5,10.0,8.0,n500r25
8,5,10.0,10.0,n500r25
15,5,16.0,10.0,n500r25
21,5,28.0,10.0,n500r25
1,15,26.0,20.0,n100r5
3,15,38.0,38.0,n100r5
5,15,44.0,30.0,n100r5
1,15,14.0,14.0,n500r25
8,15,56.0,42.0,n500r25
15,15,64.0,52.0,n500r25
21,15,30.0,30.0,n500r25
1,20,26.0,26.0,n100r5
3,20,32.0,32.0,n100r5
5,20,52.0,52.0,n100r5
1,20,30.0,30.0,n500r25
8,20,-1.0,50.0,n500r25
15,20,50.0,40.0,n500r25
21,20,48.0,40.0,n500r25
1,35,16.0,14.0,n100r5
3,35,74.0,72.0,n100r5
5,35,64.0,60.0,n100r5
1,35,34.0,34.0,n500r25
8,35,72.0,64.0,n500r25
15,35,78.0,68.0,n500r25
21,35,74.0,70.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,4.0,2.0,n500r25
8,1,2.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,8.0,6.0,n100r5
3,5,20.0,20.0,n100r5
5,5,10.0,10.0,n100r5
1,5,14.0,4.0,n500r25
8,5,22.0,10.0,n500r25
15,5,24.0,10.0,n500r25
21,5,12.0,10.0,n500r25
1,15,14.0,14.0,n100r5
3,15,36.0,34.0,n100r5
5,15,24.0,22.0,n100r5
1,15,24.0,12.0,n500r25
8,15,30.0,30.0,n500r25
15,15,58.0,38.0,n500r25
21,15,24.0,24.0,n500r25
1,20,12.0,10.0,n100r5
3,20,30.0,28.0,n100r5
5,20,32.0,30.0,n100r5
1,20,20.0,20.0,n500r25
8,20,68.0,48.0,n500r25
15,20,94.0,42.0,n500r25
21,20,40.0,36.0,n500r25
1,35,34.0,32.0,n100r5
3,35,74.0,72.0,n100r5
5,35,50.0,48.0,n100r5
1,35,58.0,34.0,n500r25
8,35,62.0,54.0,n500r25
15,35,104.0,70.0,n500r25
21,35,102.0,82.0,n500r25
1,1,8.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,2.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,12.0,2.0,n500r25
1,5,12.0,12.0,n100r5
3,5,16.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,20.0,10.0,n500r25
8,5,10.0,10.0,n500r25
15,5,10.0,10.0,n500r25
21,5,20.0,10.0,n500r25
1,15,12.0,10.0,n100r5
3,15,26.0,24.0,n100r5
5,15,48.0,26.0,n100r5
1,15,28.0,22.0,n500r25
8,15,38.0,30.0,n500r25
15,15,38.0,32.0,n500r25
21,15,48.0,30.0,n500r25
1,20,16.0,14.0,n100r5
3,20,36.0,28.0,n100r5
5,20,48.0,40.0,n100r5
1,20,38.0,28.0,n500r25
8,20,68.0,38.0,n500r25
15,20,72.0,60.0,n500r25
21,20,68.0,48.0,n500r25
1,35,34.0,34.0,n100r5
3,35,58.0,56.0,n100r5
5,35,46.0,46.0,n100r5
1,35,44.0,34.0,n500r25
8,35,-1.0,68.0,n500r25
15,35,86.0,64.0,n500r25
21,35,96.0,78.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,10.0,n500r25
8,1,2.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,8.0,6.0,n100r5
3,5,10.0,10.0,n100r5
5,5,8.0,8.0,n100r5
1,5,18.0,8.0,n500r25
8,5,16.0,10.0,n500r25
15,5,24.0,10.0,n500r25
21,5,20.0,10.0,n500r25
1,15,30.0,26.0,n100r5
3,15,32.0,32.0,n100r5
5,15,36.0,30.0,n100r5
1,15,30.0,20.0,n500r25
8,15,44.0,32.0,n500r25
15,15,70.0,34.0,n500r25
21,15,38.0,32.0,n500r25
1,20,28.0,28.0,n100r5
3,20,44.0,42.0,n100r5
5,20,34.0,34.0,n100r5
1,20,28.0,28.0,n500r25
8,20,40.0,32.0,n500r25
15,20,40.0,40.0,n500r25
21,20,40.0,40.0,n500r25
1,35,14.0,12.0,n100r5
3,35,52.0,52.0,n100r5
5,35,42.0,40.0,n100r5
1,35,46.0,28.0,n500r25
8,35,74.0,64.0,n500r25
15,35,78.0,66.0,n500r25
21,35,78.0,68.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,40.0,12.0,n500r25
8,1,2.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,12.0,2.0,n500r25
1,5,12.0,10.0,n100r5
3,5,6.0,6.0,n100r5
5,5,12.0,10.0,n100r5
1,5,20.0,10.0,n500r25
8,5,8.0,8.0,n500r25
15,5,10.0,10.0,n500r25
21,5,22.0,22.0,n500r25
1,15,28.0,28.0,n100r5
3,15,30.0,28.0,n100r5
5,15,32.0,30.0,n100r5
1,15,40.0,22.0,n500r25
8,15,36.0,26.0,n500r25
15,15,36.0,28.0,n500r25
21,15,-1.0,38.0,n500r25
1,20,30.0,28.0,n100r5
3,20,34.0,32.0,n100r5
5,20,36.0,36.0,n100r5
1,20,22.0,20.0,n500r25
8,20,54.0,50.0,n500r25
15,20,44.0,34.0,n500r25
21,20,66.0,46.0,n500r25
1,35,20.0,16.0,n100r5
3,35,46.0,44.0,n100r5
5,35,58.0,56.0,n100r5
1,35,48.0,36.0,n500r25
8,35,72.0,64.0,n500r25
15,35,88.0,66.0,n500r25
21,35,84.0,76.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,18.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,12.0,2.0,n500r25
1,5,22.0,20.0,n100r5
3,5,26.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,20.0,10.0,n500r25
8,5,10.0,10.0,n500r25
15,5,20.0,10.0,n500r25
21,5,20.0,10.0,n500r25
1,15,28.0,26.0,n100r5
3,15,24.0,22.0,n100r5
5,15,26.0,26.0,n100r5
1,15,32.0,22.0,n500r25
8,15,44.0,34.0,n500r25
15,15,48.0,30.0,n500r25
21,15,66.0,38.0,n500r25
1,20,24.0,24.0,n100r5
3,20,28.0,26.0,n100r5
5,20,36.0,34.0,n100r5
1,20,36.0,24.0,n500r25
8,20,52.0,38.0,n500r25
15,20,36.0,36.0,n500r25
21,20,54.0,38.0,n500r25
1,35,38.0,38.0,n100r5
3,35,52.0,44.0,n100r5
5,35,64.0,56.0,n100r5
1,35,24.0,24.0,n500r25
8,35,68.0,66.0,n500r25
15,35,56.0,56.0,n500r25
21,35,112.0,74.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,6.0,6.0,n100r5
1,1,2.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,10.0,10.0,n100r5
3,5,6.0,6.0,n100r5
5,5,12.0,10.0,n100r5
1,5,8.0,8.0,n500r25
8,5,6.0,6.0,n500r25
15,5,20.0,10.0,n500r25
21,5,16.0,10.0,n500r25
1,15,22.0,20.0,n100r5
3,15,36.0,32.0,n100r5
5,15,40.0,30.0,n100r5
1,15,36.0,26.0,n500r25
8,15,26.0,26.0,n500r25
15,15,42.0,30.0,n500r25
21,15,32.0,30.0,n500r25
1,20,20.0,18.0,n100r5
3,20,30.0,26.0,n100r5
5,20,34.0,36.0,n100r5
1,20,20.0,20.0,n500r25
8,20,50.0,36.0,n500r25
15,20,54.0,42.0,n500r25
21,20,80.0,48.0,n500r25
1,35,40.0,38.0,n100r5
3,35,50.0,48.0,n100r5
5,35,90.0,86.0,n100r5
1,35,26.0,16.0,n500r25
8,35,74.0,64.0,n500r25
15,35,96.0,76.0,n500r25
21,35,102.0,80.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,8.0,6.0,n100r5
3,5,10.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,18.0,8.0,n500r25
8,5,-1.0,22.0,n500r25
15,5,10.0,10.0,n500r25
21,5,10.0,10.0,n500r25
1,15,12.0,10.0,n100r5
3,15,38.0,30.0,n100r5
5,15,38.0,24.0,n100r5
1,15,26.0,26.0,n500r25
8,15,46.0,28.0,n500r25
15,15,38.0,30.0,n500r25
21,15,34.0,28.0,n500r25
1,20,32.0,30.0,n100r5
3,20,42.0,40.0,n100r5
5,20,52.0,38.0,n100r5
1,20,28.0,18.0,n500r25
8,20,66.0,54.0,n500r25
15,20,56.0,42.0,n500r25
21,20,-1.0,40.0,n500r25
1,35,38.0,38.0,n100r5
3,35,54.0,50.0,n100r5
5,35,58.0,48.0,n100r5
1,35,36.0,26.0,n500r25
8,35,74.0,64.0,n500r25
15,35,84.0,66.0,n500r25
21,35,88.0,66.0,n500r25
1,1,2.0,2.0,n100r5
3,1,8.0,2.0,n100r5
5,1,4.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,4.0,2.0,n500r25
1,5,6.0,6.0,n100r5
3,5,16.0,10.0,n100r5
5,5,12.0,10.0,n100r5
1,5,20.0,10.0,n500r25
8,5,20.0,10.0,n500r25
15,5,16.0,12.0,n500r25
21,5,22.0,10.0,n500r25
1,15,32.0,26.0,n100r5
3,15,26.0,26.0,n100r5
5,15,34.0,34.0,n100r5
1,15,42.0,28.0,n500r25
8,15,36.0,28.0,n500r25
15,15,32.0,24.0,n500r25
21,15,52.0,36.0,n500r25
1,20,28.0,28.0,n100r5
3,20,34.0,34.0,n100r5
5,20,40.0,38.0,n100r5
1,20,22.0,22.0,n500r25
8,20,68.0,50.0,n500r25
15,20,90.0,50.0,n500r25
21,20,-1.0,40.0,n500r25
1,35,32.0,30.0,n100r5
3,35,48.0,44.0,n100r5
5,35,70.0,68.0,n100r5
1,35,40.0,30.0,n500r25
8,35,118.0,80.0,n500r25
15,35,102.0,88.0,n500r25
21,35,96.0,84.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,4.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,10.0,10.0,n100r5
3,5,10.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,20.0,20.0,n500r25
8,5,20.0,10.0,n500r25
15,5,10.0,10.0,n500r25
21,5,10.0,10.0,n500r25
1,15,20.0,16.0,n100r5
3,15,30.0,24.0,n100r5
5,15,28.0,26.0,n100r5
1,15,32.0,26.0,n500r25
8,15,38.0,28.0,n500r25
15,15,40.0,30.0,n500r25
21,15,-1.0,30.0,n500r25
1,20,26.0,26.0,n100r5
3,20,32.0,28.0,n100r5
5,20,48.0,44.0,n100r5
1,20,26.0,26.0,n500r25
8,20,60.0,48.0,n500r25
15,20,60.0,52.0,n500r25
21,20,52.0,40.0,n500r25
1,35,18.0,16.0,n100r5
3,35,70.0,58.0,n100r5
5,35,68.0,50.0,n100r5
1,35,58.0,40.0,n500r25
8,35,98.0,64.0,n500r25
15,35,104.0,86.0,n500r25
21,35,158.0,96.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,20.0,2.0,n500r25
1,5,4.0,4.0,n100r5
3,5,22.0,20.0,n100r5
5,5,10.0,10.0,n100r5
1,5,20.0,10.0,n500r25
8,5,14.0,12.0,n500r25
15,5,10.0,10.0,n500r25
21,5,20.0,10.0,n500r25
1,15,14.0,12.0,n100r5
3,15,24.0,24.0,n100r5
5,15,34.0,30.0,n100r5
1,15,8.0,8.0,n500r25
8,15,30.0,28.0,n500r25
15,15,36.0,30.0,n500r25
21,15,48.0,36.0,n500r25
1,20,26.0,30.0,n100r5
3,20,30.0,28.0,n100r5
5,20,32.0,26.0,n100r5
1,20,22.0,22.0,n500r25
8,20,64.0,36.0,n500r25
15,20,56.0,46.0,n500r25
21,20,50.0,40.0,n500r25
1,35,34.0,30.0,n100r5
3,35,52.0,48.0,n100r5
5,35,54.0,52.0,n100r5
1,35,34.0,34.0,n500r25
