nniMoves,edgeheights,constraintdists,estdists
0.5,29.0,24,26
0.5,40.0,24,32
0.5,52.0,34,42
0.5,43.0,26,28
0.5,42.0,22,24
0.5,62.0,36,46
0.5,60.0,34,42
0.5,46.0,30,30
0.5,40.0,22,26
0.5,50.0,30,32
0.5,41.0,26,36
0.5,43.0,30,42
0.5,41.0,26,32
0.5,44.0,26,38
0.5,47.0,30,42
0.5,49.0,30,34
0.5,37.0,22,28
0.5,26.0,16,20
0.5,47.0,28,42
0.5,35.0,20,26
0.5,35.0,18,26
0.5,64.0,36,46
0.5,39.0,24,28
0.5,25.0,22,30
0.5,54.0,30,36
0.5,57.0,38,50
0.5,41.0,28,36
0.5,31.0,18,24
0.5,30.0,18,28
0.5,36.0,26,28
0.5,35.0,20,36
0.5,23.0,18,24
0.5,49.0,32,40
0.5,50.0,34,42
0.5,39.0,22,22
0.5,43.0,26,30
0.5,42.0,24,28
0.5,44.0,28,34
0.5,53.0,34,42
0.5,36.0,22,22
0.5,45.0,26,36
0.5,41.0,20,34
0.5,48.0,32,32
0.5,47.0,30,36
0.5,25.0,22,22
0.5,50.0,30,40
0.5,31.0,24,32
0.5,47.0,24,34
0.5,42.0,24,34
0.5,40.0,26,36
0.5,44.0,26,34
0.5,38.0,28,38
0.5,49.0,26,34
0.5,38.0,28,38
0.5,23.0,18,22
0.5,37.0,22,26
0.5,29.0,20,20
0.5,22.0,18,30
0.5,42.0,20,24
0.5,42.0,26,34
0.5,45.0,20,30
0.5,46.0,28,36
0.5,50.0,28,32
0.5,41.0,24,26
0.5,47.0,30,30
0.5,33.0,22,22
0.5,50.0,26,44
0.5,38.0,22,24
0.5,28.0,16,20
0.5,40.0,28,34
0.5,51.0,30,34
0.5,50.0,24,34
0.5,43.0,26,28
0.5,35.0,20,30
0.5,50.0,26,34
0.5,37.0,24,32
0.5,40.0,28,40
0.5,42.0,26,36
0.5,53.0,30,42
0.5,29.0,24,26
0.5,41.0,28,38
0.5,38.0,24,28
0.5,22.0,22,28
0.5,55.0,36,42
0.5,35.0,22,26
0.5,42.0,24,38
0.5,27.0,26,30
0.5,49.0,32,40
0.5,55.0,34,38
0.5,27.0,18,22
0.5,31.0,18,22
0.5,55.0,30,42
0.5,37.0,24,34
0.5,21.0,14,14
0.5,46.0,28,36
0.5,31.0,24,28
0.5,48.0,28,32
0.5,29.0,22,24
0.5,48.0,26,38
0.5,51.0,26,30
0.5,54.0,36,44
0.5,38.0,28,40
0.5,60.0,34,38
0.5,57.0,36,44
0.5,26.0,16,18
0.5,37.0,26,28
0.5,32.0,18,20
0.5,41.0,22,30
0.5,52.0,30,40
0.5,32.0,24,30
0.5,40.0,22,30
0.5,28.0,18,18
0.5,51.0,22,30
0.5,48.0,28,34
0.5,32.0,20,26
0.5,52.0,28,34
0.5,33.0,22,26
0.5,60.0,32,44
0.5,26.0,20,26
0.5,50.0,38,42
0.5,45.0,28,38
0.5,43.0,24,24
0.5,53.0,26,28
0.5,54.0,32,34
0.5,28.0,20,24
0.5,50.0,28,36
0.5,30.0,24,34
0.5,41.0,20,24
0.5,50.0,32,32
0.5,40.0,28,34
0.5,26.0,12,16
0.5,42.0,24,24
0.5,44.0,28,32
0.5,35.0,22,28
0.5,50.0,30,40
0.5,47.0,26,30
0.5,35.0,24,32
0.5,38.0,22,36
0.5,67.0,36,42
0.5,38.0,30,30
0.5,48.0,30,36
0.5,40.0,24,34
0.5,48.0,32,38
0.5,19.0,14,16
0.5,43.0,26,38
0.5,41.0,24,26
0.5,31.0,16,22
0.5,57.0,26,40
0.5,54.0,28,36
0.5,39.0,22,26
0.5,32.0,18,28
0.5,39.0,22,26
0.5,36.0,24,26
0.5,27.0,20,28
0.5,57.0,34,44
0.5,37.0,24,30
0.5,35.0,18,18
0.5,40.0,26,38
0.5,41.0,22,38
0.5,42.0,28,28
0.5,25.0,18,20
0.5,30.0,16,20
0.5,40.0,26,32
0.5,49.0,26,30
0.5,38.0,26,32
0.5,35.0,24,28
0.5,32.0,22,28
0.5,49.0,28,30
0.5,49.0,32,38
0.5,66.0,34,52
0.5,50.0,26,28
0.5,42.0,22,26
0.5,45.0,28,34
0.5,38.0,22,22
0.5,41.0,24,26
0.5,46.0,32,38
0.5,17.0,16,22
0.5,40.0,26,26
0.5,33.0,20,24
0.5,31.0,20,22
0.5,55.0,28,40
0.5,42.0,24,30
0.5,37.0,22,32
0.5,58.0,28,40
0.5,59.0,38,46
0.5,33.0,16,22
0.5,31.0,20,28
0.5,57.0,30,38
0.5,39.0,26,26
0.5,15.0,12,12
0.5,42.0,22,30
0.5,45.0,26,36
0.5,38.0,30,34
0.5,21.0,14,14
0.5,56.0,34,34
0.5,56.0,30,38
0.5,38.0,26,28
0.5,26.0,22,28
0.5,21.0,18,22
0.5,55.0,36,44
0.5,45.0,22,28
0.5,52.0,34,42
0.5,27.0,20,24
0.5,50.0,30,44
0.5,38.0,20,28
0.5,59.0,28,38
0.5,55.0,36,40
0.5,41.0,24,28
0.5,40.0,24,28
0.5,49.0,28,32
0.5,32.0,22,34
0.5,25.0,20,22
0.5,48.0,30,34
0.5,57.0,32,36
0.5,43.0,22,38
0.5,55.0,26,28
0.5,43.0,26,38
0.5,30.0,20,28
0.5,25.0,20,36
0.5,29.0,18,26
0.5,43.0,28,38
0.5,44.0,28,30
0.5,37.0,18,28
0.5,42.0,22,24
0.5,55.0,30,44
0.5,36.0,24,24
0.5,36.0,22,40
0.5,31.0,24,28
0.5,51.0,30,40
0.5,55.0,34,44
0.5,45.0,30,36
0.5,51.0,36,40
0.5,41.0,24,26
0.5,58.0,40,44
0.5,25.0,14,14
0.5,41.0,24,28
0.5,53.0,28,34
0.5,34.0,22,34
0.5,37.0,24,28
0.5,41.0,24,28
0.5,44.0,24,36
0.5,44.0,26,30
0.5,50.0,30,40
0.5,33.0,24,38
0.5,18.0,8,10
0.5,22.0,16,16
0.5,21.0,16,22
0.5,55.0,26,32
0.5,43.0,32,36
0.5,40.0,24,26
0.5,41.0,22,28
0.5,38.0,20,30
0.5,35.0,24,26
0.5,56.0,28,34
0.5,48.0,32,54
0.5,41.0,22,26
0.5,41.0,26,32
0.5,47.0,36,36
0.5,43.0,24,26
0.5,53.0,28,34
0.5,44.0,26,28
0.5,37.0,22,24
0.5,25.0,24,26
0.5,56.0,38,48
0.5,56.0,30,36
0.5,41.0,22,30
0.5,44.0,24,28
0.5,32.0,22,32
0.5,38.0,22,28
0.5,36.0,20,22
0.5,34.0,20,28
0.5,39.0,28,28
0.5,37.0,24,32
0.5,31.0,18,22
0.5,44.0,28,42
0.5,39.0,20,30
0.5,58.0,30,38
0.5,38.0,26,32
0.5,48.0,26,36
0.5,56.0,38,48
0.5,36.0,24,30
0.5,38.0,24,28
0.5,54.0,28,36
0.5,32.0,20,22
0.5,37.0,28,30
0.5,55.0,34,48
0.5,56.0,32,46
0.5,48.0,28,30
0.5,44.0,24,30
0.5,53.0,28,40
0.5,33.0,20,26
0.5,44.0,26,30
0.5,49.0,28,38
0.5,40.0,22,30
0.5,39.0,26,28
0.5,42.0,28,32
0.5,44.0,30,48
0.5,51.0,24,28
0.5,41.0,22,24
0.5,41.0,24,32
0.5,52.0,28,34
0.5,33.0,20,26
0.5,52.0,34,42
0.5,45.0,26,34
0.5,54.0,36,50
0.5,38.0,26,34
0.5,57.0,28,30
0.5,48.0,28,44
0.5,52.0,28,38
0.5,35.0,26,30
0.5,43.0,30,36
0.5,28.0,24,24
0.5,53.0,34,46
0.5,44.0,30,44
0.5,37.0,18,22
0.5,30.0,22,24
0.5,56.0,34,38
0.5,46.0,26,30
0.5,34.0,24,24
0.5,28.0,24,26
0.5,57.0,30,40
0.5,58.0,28,38
0.5,33.0,20,26
0.5,47.0,28,34
0.5,46.0,24,26
0.5,49.0,28,36
0.5,35.0,24,24
0.5,29.0,26,28
0.5,20.0,16,22
0.5,34.0,20,32
0.5,54.0,30,42
0.5,38.0,22,26
0.5,58.0,30,36
0.5,24.0,16,20
0.5,32.0,20,28
0.5,53.0,30,36
0.5,50.0,34,40
0.5,44.0,28,34
0.5,39.0,22,32
0.5,38.0,24,32
0.5,45.0,30,36
0.5,30.0,18,26
0.5,44.0,28,36
0.5,45.0,30,32
0.5,41.0,24,24
0.5,47.0,26,40
0.5,48.0,32,32
0.5,14.0,10,16
0.5,30.0,22,28
0.5,31.0,20,22
0.5,34.0,20,22
0.5,41.0,24,32
0.5,25.0,22,24
0.5,36.0,20,24
0.5,36.0,20,24
0.5,47.0,24,24
0.5,54.0,28,32
0.5,45.0,24,24
0.5,36.0,20,28
0.5,51.0,30,46
0.5,26.0,14,22
0.5,30.0,22,32
0.5,49.0,32,40
0.5,58.0,32,44
0.5,33.0,26,30
0.5,44.0,28,34
0.5,50.0,28,34
0.5,42.0,24,36
0.5,55.0,38,48
0.5,47.0,30,46
0.5,43.0,36,42
0.5,50.0,30,34
0.5,47.0,32,38
0.5,21.0,16,18
0.5,22.0,18,28
0.5,48.0,26,26
0.5,31.0,20,26
0.5,46.0,30,44
0.5,44.0,28,32
0.5,43.0,30,42
0.5,41.0,20,28
0.5,45.0,20,22
0.5,31.0,18,26
0.5,55.0,26,36
0.5,51.0,30,34
0.5,34.0,22,30
0.5,26.0,14,14
0.5,25.0,14,14
0.5,47.0,30,42
0.5,35.0,22,26
0.5,38.0,22,30
0.5,38.0,24,34
0.5,50.0,30,36
0.5,44.0,30,30
0.5,49.0,28,40
0.5,65.0,36,42
0.5,40.0,30,36
0.5,45.0,28,38
0.5,39.0,22,26
0.5,24.0,16,16
0.5,34.0,22,24
0.5,50.0,28,34
0.5,48.0,28,32
0.5,32.0,22,36
0.5,50.0,28,28
0.5,48.0,32,46
0.5,41.0,26,36
0.5,46.0,22,28
0.5,44.0,30,34
0.5,46.0,30,30
0.5,51.0,30,38
0.5,41.0,26,28
0.5,45.0,28,44
0.5,48.0,28,34
0.5,42.0,20,22
0.5,43.0,28,28
0.5,38.0,20,26
0.5,45.0,24,28
0.5,54.0,28,32
0.5,23.0,16,22
0.5,48.0,28,36
0.5,36.0,22,30
0.5,43.0,22,22
0.5,35.0,26,28
0.5,47.0,24,36
0.5,40.0,26,34
0.5,32.0,20,26
0.5,25.0,22,22
0.5,45.0,30,32
0.5,45.0,28,34
0.5,34.0,20,22
0.5,42.0,24,40
0.5,31.0,20,22
0.5,44.0,26,28
0.5,55.0,30,48
0.5,32.0,20,24
0.5,38.0,22,28
0.5,58.0,30,32
0.5,32.0,26,26
0.5,52.0,30,38
0.5,54.0,32,44
0.5,36.0,24,32
0.5,44.0,26,32
0.5,37.0,26,32
0.5,41.0,22,26
0.5,40.0,28,36
0.5,40.0,22,28
0.5,35.0,20,24
0.5,33.0,20,26
0.5,54.0,30,36
0.5,50.0,28,42
0.5,20.0,10,14
0.5,33.0,28,28
0.5,26.0,14,14
0.5,53.0,24,36
0.5,55.0,28,36
0.5,49.0,34,40
0.5,52.0,34,42
0.5,39.0,20,22
0.5,30.0,26,28
0.5,43.0,20,26
0.5,45.0,22,32
0.5,54.0,34,34
0.5,47.0,28,42
0.5,40.0,18,32
0.5,39.0,22,26
0.5,30.0,16,16
0.5,53.0,26,40
0.5,40.0,28,30
0.5,36.0,24,30
0.5,50.0,34,42
0.5,59.0,34,52
0.5,24.0,22,26
0.5,35.0,20,20
0.5,50.0,28,36
0.5,53.0,30,44
0.5,53.0,24,28
0.5,46.0,30,36
0.5,36.0,22,26
0.5,29.0,22,26
0.5,50.0,34,50
0.5,56.0,36,40
0.5,57.0,30,38
0.5,23.0,14,14
0.5,45.0,26,26
0.5,36.0,20,22
0.5,64.0,36,40
0.5,48.0,34,44
0.5,53.0,32,40
0.5,39.0,24,34
0.5,56.0,28,38
0.5,41.0,22,24
0.5,24.0,12,14
0.5,57.0,28,48
0.5,32.0,18,22
0.5,64.0,34,40
0.5,55.0,36,46
0.5,32.0,18,22
0.5,40.0,24,44
0.5,55.0,40,50
0.5,28.0,20,20
0.5,46.0,24,30
0.5,44.0,24,34
0.5,46.0,26,32
0.5,49.0,32,32
0.5,44.0,20,26
0.5,51.0,32,40
0.5,49.0,32,36
0.5,30.0,16,24
0.5,51.0,30,38
0.5,41.0,24,28
0.5,22.0,10,10
0.5,34.0,24,32
0.5,36.0,20,26
0.5,54.0,36,52
0.5,36.0,22,22
0.5,39.0,22,28
0.5,36.0,22,24
0.5,41.0,22,28
0.5,35.0,26,32
0.5,42.0,20,30
0.5,26.0,16,18
0.5,33.0,22,22
0.5,40.0,24,26
0.5,44.0,26,36
0.5,48.0,24,30
0.5,37.0,22,30
0.5,29.0,16,18
0.5,43.0,24,28
0.5,42.0,24,32
0.5,62.0,30,32
0.5,49.0,32,46
0.5,36.0,22,26
0.5,41.0,30,32
0.5,51.0,30,36
0.5,39.0,22,24
0.5,24.0,20,26
0.5,44.0,26,32
0.5,35.0,18,20
0.5,41.0,22,22
0.5,33.0,20,24
0.5,45.0,26,30
0.5,45.0,24,40
0.5,44.0,26,32
0.5,42.0,20,22
0.5,35.0,22,26
0.5,43.0,24,28
0.5,43.0,26,36
0.5,42.0,22,30
0.5,44.0,28,42
0.5,27.0,16,24
0.5,32.0,22,30
0.5,40.0,20,26
0.5,49.0,30,42
0.5,23.0,16,20
0.5,46.0,32,36
0.5,50.0,32,32
0.5,24.0,22,26
0.5,46.0,32,42
0.5,45.0,26,36
0.5,30.0,14,20
0.5,36.0,22,28
0.5,36.0,18,20
0.5,39.0,24,24
0.5,45.0,32,32
0.5,46.0,30,42
0.5,34.0,24,36
0.5,44.0,24,30
0.5,39.0,26,30
0.5,58.0,28,34
0.5,48.0,30,38
0.5,28.0,22,30
0.5,44.0,28,44
0.5,36.0,20,22
0.5,52.0,36,40
0.5,30.0,18,22
0.5,49.0,28,30
0.5,46.0,34,38
0.5,31.0,16,22
0.5,48.0,22,24
0.5,44.0,30,36
0.5,36.0,18,32
0.5,48.0,36,40
0.5,48.0,28,30
0.5,39.0,26,32
0.5,45.0,22,36
0.5,37.0,24,28
